('dissolution', [0.0, 0.1111111111111111, 0.0, 0.1111111111111111, '#scared', '#disgusting', 'negetive', -1.0, 'jailhouse', 'convict_crime', 'aversion_therapy', 'assertiveness', 'store_pen'])
('refutes', [0.0, 0.1111111111111111, 0.0, 0.1111111111111111, '#scared', '#disgusting', 'negetive', -1.0, 'importantly', 'fifo_queue', 'retrocognition', 'turquoise', 'sliced_celery'])
('slogs', [0.0, 0.16666666666666666, 0.0, 0.16666666666666666, '#scared', '#disgusting', 'negetive', -1.0, 'dusty_road', 'sex_without_condom', 'chlorine', 'arizona_veteran_memorial', 'condemnatory'])
('perverted', [0.0, 0.16666666666666666, 0.0, 0.16666666666666666, '#scared', '#disgusting', 'negetive', -1.0, 'cutting_edge_research', 'scarlet', 'stodgily', 'jo_malone', 'sincere_repentance'])
('hating', [0.0, 0.16666666666666666, 0.0, 0.16666666666666666, '#scared', '#disgusting', 'negetive', -1.0, 'ejaculation', 'proactive', 'pro_active', 'memorial', 'glazed_ceramic'])
('saved', [0.0, 0.3333333333333333, 0.2857142857142857, 0.0, '#interesting', '#interesting', 'positive', 0.375, 'buoyancy', 'finish_school', 'happy_family', 'remove_control', 'forcible'])
('unguiculate', [0.0, 0.11764705882352941, 0.0, 0.11764705882352941, '#scared', '#disgusting', 'negetive', -0.125, 'jump_over', 'quick_bread', 'foul_odor', 'become_informed', 'hurt_others'])
('unsheathed', [0.0, 0.25, 0.0, 0.25, '#scared', '#disgusting', 'negetive', -0.75, 'succeeder', 'cash', 'irreplaceableness', 'solicitous', 'happen_now'])
('stinks', [0.0, 0.07142857142857142, 0.0, 0.07142857142857142, '#scared', '#disgusting', 'negetive', -1.0, 'gleam', 'martian_winter', 'bemuse', 'jackson_memorial_hospital', 'rear_seat_passenger'])
('offenses', [0.0, 0.08333333333333333, 0.0, 0.08333333333333333, '#scared', '#disgusting', 'negetive', -1.0, 'wiseman', 'altered', 'sea', 'judicial_remedies', 'doughty'])
('haters', [0.0, 0.1, 0.0, 0.1, '#scared', '#disgusting', 'negetive', -1.0, 'constructible_polygon', 'irreconcilable', 'joylessness', 'transmissible_spongiform_encephalopathy', 'treadmill_desk'])
('spew', [0.0, 0.14285714285714285, 0.0, 0.14285714285714285, '#scared', '#disgusting', 'negetive', -1.0, 'tile', 'concupiscence', 'chest_pain', 'climb_mount_everest', 'gas_burner'])
('poorest', [0.0, 0.2, 0.0, 0.2, '#scared', '#disgusting', 'negetive', -1.0, 'total', 'beetle_larva', 'colloquialism', 'hardheartedness', 'total'])
('inhospitality', [0.0, 0.08333333333333333, 0.0, 0.08333333333333333, '#scared', '#disgusting', 'negetive', -1.0, 'master_skill', 'petrology', 'duck_down', 'make_goal', 'logistic_support'])
('slowest', [0.0, 0.2, 0.0, 0.2, '#scared', '#disgusting', 'negetive', -1.0, 'broke', 'sharpen', 'marijuana', 'newsletter', 'jury'])
('regrets', [0.0, 0.1, 0.0, 0.1, '#scared', '#disgusting', 'negetive', -1.0, 'make_paper', 'descriptivism', 'spearguns', 'make_sale', 'bus_terminal'])
('nonresident', [0.0, 0.18181818181818182, 0.0, 0.18181818181818182, '#scared', '#disgusting', 'negetive', -0.75, 'irreconcilable', 'joylessness', 'transfuse', 'imprecate', 'semantic_error'])
('struck', [0.0, 0.16666666666666666, 0.0, 0.16666666666666666, '#scared', '#disgusting', 'negetive', -1.0, 'sioux', 'skin_impurity', 'palace', 'byzantine_rite', 'fatalist'])
('perishable', [0.0, 0.16666666666666666, 0.0, 0.16666666666666666, '#scared', '#disgusting', 'negetive', -0.375, 'alphabetic', 'vulgarize', 'hot_pepper', 'han_christian_andersen_tale', 'acorn_worm'])
('tantalizing', [0.0, 0.14285714285714285, 0.16666666666666666, 0.0, '#surprising', '#surprising', 'positive', 1.0, 'straight_line', 'cleverness', 'retarded', 'old_software', 'mutt'])
('nourished', [0.0, 0.2857142857142857, 0.25, 0.0, '#interesting', '#interesting', 'positive', 0.375, 'wild_sheepi', 'park_zone', 'roller_coaster_ride', 'passing_motorist', 'kainogenesis'])
('reforms', [0.0, 0.08333333333333333, 0.07692307692307693, 0.0, '#interesting', '#interesting', 'positive', 1.0, 'book_library', 'memo', 'fraternize', 'arresting', 'leaning'])
('differentiated', [0.0, 0.3333333333333333, 0.2857142857142857, 0.0, '#interesting', '#interesting', 'positive', 0.125, 'tubular_cavity', 'dumfounded', 'lucrative_contract', 'yoga_pose', 'sodium_retention'])
('clothed', [0.0, 0.25, 0.0, 0.25, '#scared', '#disgusting', 'negetive', -0.25, 'infirm', 'sum', 'do_shopping', 'military_retreat', 'windfall_profit'])
('suffices', [0.0, 0.14285714285714285, 0.125, 0.0, '#interesting', '#interesting', 'positive', 1.0, 'abound', 'concept', 'enforce', 'poison_sumac', 'potency'])
('tarnishing', [0.0, 0.125, 0.0, 0.125, '#scared', '#disgusting', 'negetive', -1.0, 'produce_store', 'afraid_death', 'inquiringly', 'windfall_profit', 'price_level'])
('integrated', [0.0, 0.16666666666666666, 0.14285714285714285, 0.0, '#interesting', '#interesting', 'positive', 1.0, 'green_hue', 'yokel', 'part_of_face', 'small_memory_footprint', 'boatmanship'])
('steadfastness', [0.0, 0.1111111111111111, 0.1, 0.0, '#interesting', '#interesting', 'positive', 1.0, 'complacent', 'meticulous', 'marjorie_wallace', 'bipolar_depression', 'bawl_out'])
('crumples', [0.0, 0.14285714285714285, 0.0, 0.14285714285714285, '#scared', '#disgusting', 'negetive', -1.0, 'addictive', 'dust', 'extravagant', 'mojo', 'multipurpose_arena'])
('picketed', [0.0, 0.07692307692307693, 0.0, 0.07692307692307693, '#scared', '#disgusting', 'negetive', -1.0, 'distant_destination', 'crucifer', 'embellish', 'keratotic', 'store_food'])
('excelled', [0.0, 0.3333333333333333, 0.25, 0.0, '#interesting', '#interesting', 'positive', 1.0, 'cooking_dinner', 'shirk', 'buy_tool', 'disloyalty', 'dare'])
('depraved', [0.0, 0.16666666666666666, 0.0, 0.16666666666666666, '#scared', '#disgusting', 'negetive', -1.0, 'cutting_edge_research', 'scarlet', 'stodgily', 'jo_malone', 'sincere_repentance'])
('louder', [0.0, 0.2, 0.0, 0.2, '#scared', '#disgusting', 'negetive', -1.0, 'small_picaninny', 'dissociable', 'handmade_cards', 'do_homework', 'small_picaninny'])
('blaspheme', [0.0, 0.16666666666666666, 0.0, 0.16666666666666666, '#scared', '#disgusting', 'negetive', -1.0, 'doubly_periodic', 'bombinate', 'epigon', 'alluvial', 'call_family'])
('rusts', [0.0, 0.07142857142857142, 0.0, 0.07142857142857142, '#scared', '#disgusting', 'negetive', -1.0, 'embark', 'weather_map', 'buy_book', 'social_unrest', 'peavey'])
('even', [0.0, 0.2, 0.18181818181818182, 0.0, '#interesting', '#interesting', 'positive', 0.25, 'memo', 'arresting', 'leaning', 'phantom', 'poker_game'])
('errors', [0.0, 0.09090909090909091, 0.0, 0.09090909090909091, '#scared', '#disgusting', 'negetive', -1.0, 'remedy', 'black_art', 'fasciola_hepatica', 'serpent', 'killing'])
('self-determination', [0.0, 0.1, 0.09090909090909091, 0.0, '#interesting', '#interesting', 'positive', 1.0, 'massage_parlor', 'calm_mind', 'thinprep_imaging_system', 'heinousness', 'muapoko'])
('selected', [0.0, 0.4, 0.3333333333333333, 0.0, '#interesting', '#interesting', 'positive', 0.125, 'make_gesture', 'scapegrace', 'sport', 'designer_clothes', 'pity'])
('revolutionize', [0.0, 0.25, 0.2, 0.0, '#interesting', '#interesting', 'positive', 1.0, 'fiery_breath', 'memo', 'arresting', 'leaning', 'poker_game'])
('bonuses', [0.0, 0.1, 0.09090909090909091, 0.0, '#interesting', '#interesting', 'positive', 1.0, 'snowdrop', 'hear', 'indifference', 'degeneracy', 'blowup'])
('sunder', [0.0, 0.1111111111111111, 0.0, 0.1111111111111111, '#scared', '#disgusting', 'negetive', -1.0, 'extravagant', 'multipurpose_arena', 'addictive', 'trenchancy', 'next_episode'])
('millenarian', [0.0, 0.16666666666666666, 0.0, 0.16666666666666666, '#scared', '#disgusting', 'negetive', -0.25, 'clothes_hanger', 'irreconcilable', 'joylessness', 'transfuse', 'imprecate'])
('stooges', [0.0, 0.09090909090909091, 0.0, 0.09090909090909091, '#scared', '#disgusting', 'negetive', -1.0, 'human_granulocytic_ehrlichiosis_hge', 'magnify_glass', 'radiant_intensity', 'eat_cat_food', 'hand_mirror'])
('harbors', [0.0, 0.08333333333333333, 0.0, 0.08333333333333333, '#scared', '#disgusting', 'negetive', -1.0, 'alarming', 'discerning', 'hesitantly', 'backslider', 'lilting'])
('ultimatums', [0.0, 0.09090909090909091, 0.0, 0.09090909090909091, '#scared', '#disgusting', 'negetive', -1.0, 'protect_family', 'important_role', 'divergent_strabismus', 'tape_machine_room', 'soupy'])
('disposable', [0.0, 0.2222222222222222, 0.2, 0.0, '#interesting', '#interesting', 'positive', 0.5, 'cobol', 'contract_of_hazard', 'nonmalignant_tumor', 'watch_parade', 'regular_convex_polyhedron'])
('brainwashed', [0.0, 0.3333333333333333, 0.2857142857142857, 0.0, '#interesting', '#interesting', 'positive', 0.125, 'hepatosplenomegaly', 'fiery_breath', 'spectral_distribution', 'inerrancy', 'discreet'])
('fissures', [0.0, 0.08333333333333333, 0.0, 0.08333333333333333, '#scared', '#disgusting', 'negetive', -1.0, 'propane_heater', 'vengeance', 'buy_pillow', 'feel_satisfied', 'assertive'])
('wastefulness', [0.0, 0.07142857142857142, 0.0, 0.07142857142857142, '#scared', '#disgusting', 'negetive', -1.0, 'separateness', 'satisfactoriness', 'fix_bug', 'mystic', 'fishing_hook'])
('cracked', [0.0, 0.16666666666666666, 0.0, 0.16666666666666666, '#scared', '#disgusting', 'negetive', -1.0, 'semiannual_newsletter', 'rescuer', 'clastogenic', 'trout', 'broken_window'])
('recessive', [0.0, 0.13333333333333333, 0.0, 0.13333333333333333, '#scared', '#disgusting', 'negetive', -0.25, 'grape_hyacinth', 'high_fever', 'harun_farocki', 'mast_cell', 'baton'])
('kudos', [0.0, 0.125, 0.1111111111111111, 0.0, '#interesting', '#interesting', 'positive', 1.0, 'wild_beast', 'fix', 'ethnocentrism', 'feel_glad', 'misuse'])
('uplifting', [0.0, 0.09090909090909091, 0.08333333333333333, 0.0, '#interesting', '#interesting', 'positive', 1.0, 'stardom', 'sit_sofa', 'silicon_layer', 'psychoactives', 'humming_along'])
('bumps', [0.0, 0.07142857142857142, 0.0, 0.07142857142857142, '#scared', '#disgusting', 'negetive', -1.0, 'compose_draft', 'dirty', 'edwardian', 'sell_car', 'send_down'])
