('unencumbered', [1.0, 0.0])
('dissolution', [0.0, 1.0])
('doubts', [0.0, 1.0])
('beautifullly', [1.0, 0.0])
('well-mannered', [1.0, 0.0])
('slogs', [0.0, 1.0])
('perverted', [0.0, 1.0])
('hating', [0.0, 1.0])
('brashly', [0.0, 1.0])
('stinks', [0.0, 1.0])
('offenses', [0.0, 1.0])
('regretted', [0.0, 1.0])
('asinininity', [0.0, 1.0])
('spew', [0.0, 1.0])
('poorest', [0.0, 1.0])
('inhospitality', [0.0, 1.0])
('unbearablely', [0.0, 1.0])
('lorn', [0.0, 1.0])
('fatcat', [0.0, 1.0])
('slowest', [0.0, 1.0])
('bulkier', [0.0, 1.0])
('regrets', [0.0, 1.0])
('slow-moving', [0.0, 1.0])
('splitting', [0.0, 1.0])
('fantastically', [1.0, 0.0])
('tantalizing', [1.0, 0.0])
('reforms', [1.0, 0.0])
('grumpier', [0.0, 1.0])
('smoothest', [1.0, 0.0])
('anemic', [0.0, 1.0])
('suffices', [1.0, 0.0])
('tarnishing', [0.0, 1.0])
('integrated', [1.0, 0.0])
('steadfastness', [1.0, 0.0])
('happier', [1.0, 0.0])
('forged', [0.0, 1.0])
('non-violent', [1.0, 0.0])
('picketed', [0.0, 1.0])
('pamperedly', [1.0, 0.0])
('excelled', [1.0, 0.0])
('depraved', [0.0, 1.0])
('louder', [0.0, 1.0])
('blaspheme', [0.0, 1.0])
('rusts', [0.0, 1.0])
('haughtily', [0.0, 1.0])
('gawky', [0.0, 1.0])
('errors', [0.0, 1.0])
('self-determination', [1.0, 0.0])
('revolutionize', [1.0, 0.0])
('bonuses', [1.0, 0.0])
('sunder', [0.0, 1.0])
('stooges', [0.0, 1.0])
('harbors', [0.0, 1.0])
('ultimatums', [0.0, 1.0])
('ulterior', [0.0, 1.0])
('smuttiest', [0.0, 1.0])
('fissures', [0.0, 1.0])
('wastefulness', [0.0, 1.0])
('rightness', [1.0, 0.0])
('bullyingly', [0.0, 1.0])
('stresses', [0.0, 1.0])
('kudos', [1.0, 0.0])
('over-priced', [0.0, 1.0])
('inefficiently', [0.0, 1.0])
('oasis', [1.0, 0.0])
('god-send', [1.0, 0.0])
('well-bred', [1.0, 0.0])
('unkindly', [0.0, 1.0])
('superstitious', [0.0, 1.0])
('insensitively', [0.0, 1.0])
('advantages', [1.0, 0.0])
('imaculate', [1.0, 0.0])
('adulterier', [0.0, 1.0])
('cushy', [1.0, 0.0])
('discontinuous', [0.0, 1.0])
('inequitably', [0.0, 1.0])
('conflicts', [0.0, 1.0])
('cheats', [0.0, 1.0])
('ridicules', [0.0, 1.0])
('romantically', [1.0, 0.0])
('scarier', [0.0, 1.0])
('overheat', [0.0, 1.0])
('unfunded', [0.0, 1.0])
('best-selling', [1.0, 0.0])
('detesting', [0.0, 1.0])
('impartiality', [1.0, 0.0])
('ploy', [0.0, 1.0])
('quibbles', [0.0, 1.0])
('prefered', [1.0, 0.0])
('leaks', [0.0, 1.0])
('imperialist', [0.0, 1.0])
('slaughtered', [0.0, 1.0])
('plagiarize', [0.0, 1.0])
('detracts', [0.0, 1.0])
('snarky', [0.0, 1.0])
('spookily', [0.0, 1.0])
('sobering', [0.0, 1.0])
('harmless', [1.0, 0.0])
('diatribes', [0.0, 1.0])
('unraveled', [0.0, 1.0])
('striving', [1.0, 0.0])
('exhorbitant', [0.0, 1.0])
('overrun', [0.0, 1.0])
('ecenomical', [1.0, 0.0])
('cheapest', [1.0, 0.0])
('aggrivation', [0.0, 1.0])
('tremendously', [1.0, 0.0])
('worn', [0.0, 1.0])
('deficiencies', [0.0, 1.0])
('criticizing', [0.0, 1.0])
('excellant', [1.0, 0.0])
('achievible', [1.0, 0.0])
('goood', [1.0, 0.0])
('deadweight', [0.0, 1.0])
('vehemently', [0.0, 1.0])
('diappointed', [0.0, 1.0])
('excallent', [1.0, 0.0])
('fanciful', [0.0, 1.0])
('dishearteningly', [0.0, 1.0])
('flairs', [0.0, 1.0])
('reprove', [0.0, 1.0])
('unforgettable', [1.0, 0.0])
('preferably', [1.0, 0.0])
('collude', [0.0, 1.0])
('disrespectfulness', [0.0, 1.0])
('debauchery', [0.0, 1.0])
('discomfititure', [0.0, 1.0])
('faults', [0.0, 1.0])
('accusations', [0.0, 1.0])
('infamously', [0.0, 1.0])
('shirker', [0.0, 1.0])
('badly', [0.0, 1.0])
('brutalizing', [0.0, 1.0])
('fav', [1.0, 0.0])
('irrationalities', [0.0, 1.0])
('astoundingly', [1.0, 0.0])
('outbursts', [0.0, 1.0])
('unselfish', [1.0, 0.0])
('ambivalent', [0.0, 1.0])
('rejoicingly', [1.0, 0.0])
('overtaken', [1.0, 0.0])
('wins', [1.0, 0.0])
('longingly', [0.0, 1.0])
('assuredly', [1.0, 0.0])
('backwoods', [0.0, 1.0])
('uninsured', [0.0, 1.0])
('powerfully', [1.0, 0.0])
('overtakes', [1.0, 0.0])
('reforming', [1.0, 0.0])
('infested', [0.0, 1.0])
('tricked', [0.0, 1.0])
('impossiblity', [0.0, 1.0])
('intimidatingly', [0.0, 1.0])
('unobserved', [0.0, 1.0])
('soothingly', [1.0, 0.0])
('fidelity', [1.0, 0.0])
('partisans', [0.0, 1.0])
('wrought', [0.0, 1.0])
('undid', [0.0, 1.0])
('pleasurably', [1.0, 0.0])
('wickedly', [0.0, 1.0])
('unforeseen', [0.0, 1.0])
('polluters', [0.0, 1.0])
('rremediable', [0.0, 1.0])
('alluringly', [1.0, 0.0])
('pricier', [0.0, 1.0])
('complex', [0.0, 1.0])
('whips', [0.0, 1.0])
('stalemate', [0.0, 1.0])
('smouldering', [0.0, 1.0])
('easier', [1.0, 0.0])
('unintelligile', [0.0, 1.0])
('incongruous', [0.0, 1.0])
('contaminate', [0.0, 1.0])
('unemployed', [0.0, 1.0])
('top-quality', [1.0, 0.0])
('stuttering', [0.0, 1.0])
('bane', [0.0, 1.0])
('aspersions', [0.0, 1.0])
('aborted', [0.0, 1.0])
('rhapsodize', [0.0, 1.0])
('dissappointing', [0.0, 1.0])
('rocky', [0.0, 1.0])
('cronyism', [0.0, 1.0])
('dumps', [0.0, 1.0])
('capricious', [0.0, 1.0])
('fecilitous', [1.0, 0.0])
('unusable', [0.0, 1.0])
('dings', [0.0, 1.0])
('pepping', [1.0, 0.0])
('overbearingly', [0.0, 1.0])
('dumping', [0.0, 1.0])
('combust', [0.0, 1.0])
('caustic', [0.0, 1.0])
('mangles', [0.0, 1.0])
('coupists', [0.0, 1.0])
('contend', [0.0, 1.0])
('unbound', [1.0, 0.0])
('touts', [0.0, 1.0])
('fevers', [0.0, 1.0])
('sluts', [0.0, 1.0])
('restricted', [0.0, 1.0])
('oppressors', [0.0, 1.0])
('ranted', [0.0, 1.0])
('zap', [0.0, 1.0])
('unabashed', [1.0, 0.0])
('bitingly', [0.0, 1.0])
('tops', [1.0, 0.0])
('lawless', [0.0, 1.0])
('fugitive', [0.0, 1.0])
('masterpiece', [1.0, 0.0])
('enrapture', [1.0, 0.0])
('supurbly', [1.0, 0.0])
('inadequately', [0.0, 1.0])
('obstructing', [0.0, 1.0])
('warmhearted', [1.0, 0.0])
('disregardful', [0.0, 1.0])
('counter-attacks', [1.0, 0.0])
('zaps', [0.0, 1.0])
('insubstantially', [0.0, 1.0])
('saggy', [0.0, 1.0])
('senselessly', [0.0, 1.0])
('unfulfilled', [0.0, 1.0])
('undisputably', [1.0, 0.0])
('rumple', [0.0, 1.0])
('dirtbags', [0.0, 1.0])
('disturbed', [0.0, 1.0])
('attune', [1.0, 0.0])
('ineffectively', [0.0, 1.0])
('undisputable', [1.0, 0.0])
('wowed', [1.0, 0.0])
('clouding', [0.0, 1.0])
('relentlessness', [0.0, 1.0])
('laggy', [0.0, 1.0])
('downheartedly', [0.0, 1.0])
('lovably', [1.0, 0.0])
('bombard', [0.0, 1.0])
('warped', [0.0, 1.0])
('downside', [0.0, 1.0])
('drones', [0.0, 1.0])
('screw-up', [0.0, 1.0])
('traitorous', [0.0, 1.0])
('masterfully', [1.0, 0.0])
('rejects', [0.0, 1.0])
('traumatize', [0.0, 1.0])
('indeterminate', [0.0, 1.0])
('twisted', [0.0, 1.0])
('enthral', [1.0, 0.0])
('snags', [0.0, 1.0])
('incognizant', [0.0, 1.0])
('militancy', [0.0, 1.0])
('fanatical', [0.0, 1.0])
('outstandingly', [1.0, 0.0])
('nimble', [1.0, 0.0])
('diversified', [1.0, 0.0])
('leaking', [0.0, 1.0])
('rejected', [0.0, 1.0])
('flimflam', [0.0, 1.0])
('oddest', [0.0, 1.0])
('cost-effective', [1.0, 0.0])
('positively', [1.0, 0.0])
('congratulatory', [1.0, 0.0])
('rewardingly', [1.0, 0.0])
('rampage', [0.0, 1.0])
('thumb-down', [0.0, 1.0])
('well-positioned', [1.0, 0.0])
('splendidly', [1.0, 0.0])
('spoiled', [0.0, 1.0])
